; compare-graphs  -Q regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab -wcol_Q 3 -R /bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab -return intersection+Q -o regulonDB_stringcoex/results/regulonDB_cg_stringcoex_inter-Q.tab -arc_id -outweight Q -null NA -v 1
; Input files
;	graph_R	/bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab
;	graph_Q	regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab
; Output files
;	output	regulonDB_stringcoex/results/regulonDB_cg_stringcoex_inter-Q.tab
;	Comparaison statistics
;	Reference graph        	/bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab
;		R nodes       	1358
;		R arcs        	170268
;	Query graph            	regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab
;		Q nodes       	764
;		Q arcs        	3536
;	Intersection
;		inter nodes   	764
;		inter arcs    	1577
;		inter arcs P-val	1.35081e-278
;	Union
;		union nodes   	1358
;		union arcs    	172227
;		union max arcs	921403
;	Reference not query
;		R.not.Q nodes 	594
;		R.not.Q arcs  	168691
;	Query not reference
;		Q.not.R nodes 	0
;		Q.not.R arcs  	1959
#source	target	label	color	arc_id	attribute
bglF	soxR	349	#ff0000	bglF_soxR	Q.not.R
melB	rhaT	306	#228b22	melB_rhaT	R.and.Q
ddpF	lsrC	163	#ff0000	ddpF_lsrC	Q.not.R
fixX	phnM	209	#ff0000	fixX_phnM	Q.not.R
bioD	bioA	173	#228b22	bioD_bioA	R.and.Q
gatB	gatD	300	#228b22	gatB_gatD	R.and.Q
hyfD	acrF	447	#228b22	hyfD_acrF	R.and.Q
malF	malK	238	#228b22	malF_malK	R.and.Q
fliL	fliQ	276	#228b22	fliL_fliQ	R.and.Q
ugpE	actP	235	#228b22	ugpE_actP	R.and.Q
lyx	treB	179	#228b22	lyx_treB	R.and.Q
edd	nuoL	217	#ff0000	edd_nuoL	Q.not.R
allD	hyfD	318	#ff0000	allD_hyfD	Q.not.R
rhaT	phnC	288	#ff0000	rhaT_phnC	Q.not.R
ahpC	gapA	394	#ff0000	ahpC_gapA	Q.not.R
ulaD	nirC	173	#228b22	ulaD_nirC	R.and.Q
acrF	rhaR	253	#ff0000	acrF_rhaR	Q.not.R
gdhA	rpoE	181	#ff0000	gdhA_rpoE	Q.not.R
cspD	icd	238	#ff0000	cspD_icd	Q.not.R
infB	rplM	36	#ff0000	infB_rplM	Q.not.R
zwf	ompC	203	#ff0000	zwf_ompC	Q.not.R
acrE	yhdZ	395	#ff0000	acrE_yhdZ	Q.not.R
bglG	bglB	353	#228b22	bglG_bglB	R.and.Q
asnC	alsB	286	#ff0000	asnC_alsB	Q.not.R
prpE	nanT	157	#228b22	prpE_nanT	R.and.Q
agaS	yiaK	263	#ff0000	agaS_yiaK	Q.not.R
xylG	idnO	152	#228b22	xylG_idnO	R.and.Q
dmsB	dmsC	151	#228b22	dmsB_dmsC	R.and.Q
xapB	scpC	151	#ff0000	xapB_scpC	Q.not.R
xylF	lldP	157	#ff0000	xylF_lldP	Q.not.R
yjbE	tdcB	151	#228b22	yjbE_tdcB	R.and.Q
insK	idnR	183	#ff0000	insK_idnR	Q.not.R
tdcD	ecpD	151	#228b22	tdcD_ecpD	R.and.Q
xylG	cpdB	203	#228b22	xylG_cpdB	R.and.Q
ytfE	nrdG	191	#ff0000	ytfE_nrdG	Q.not.R
acrE	yhdX	499	#ff0000	acrE_yhdX	Q.not.R
bglB	yjbE	151	#ff0000	bglB_yjbE	Q.not.R
fixX	agaS	256	#ff0000	fixX_agaS	Q.not.R
nuoE	sucD	165	#228b22	nuoE_sucD	R.and.Q
rseA	rpsI	256	#ff0000	rseA_rpsI	Q.not.R
gapA	sodB	250	#228b22	gapA_sodB	R.and.Q
adiA	bglF	569	#228b22	adiA_bglF	R.and.Q
nrfE	phnC	170	#ff0000	nrfE_phnC	Q.not.R
xapA	acrE	214	#ff0000	xapA_acrE	Q.not.R
acrF	phnI	219	#ff0000	acrF_phnI	Q.not.R
rbsA	mtlA	244	#228b22	rbsA_mtlA	R.and.Q
sucA	rseB	187	#ff0000	sucA_rseB	Q.not.R
acrF	lyx	253	#ff0000	acrF_lyx	Q.not.R
crr	glyA	195	#ff0000	crr_glyA	Q.not.R
nuoL	nuoG	453	#228b22	nuoL_nuoG	R.and.Q
nrfE	nanC	407	#ff0000	nrfE_nanC	Q.not.R
malS	xylF	191	#228b22	malS_xylF	R.and.Q
fliY	grpE	382	#ff0000	fliY_grpE	Q.not.R
mdtD	hyfH	214	#ff0000	mdtD_hyfH	Q.not.R
pykF	grpE	157	#ff0000	pykF_grpE	Q.not.R
truB	rbfA	300	#228b22	truB_rbfA	R.and.Q
ybjN	pncB	399	#ff0000	ybjN_pncB	Q.not.R
rhaS	ulaG	171	#ff0000	rhaS_ulaG	Q.not.R
allD	yiaM	467	#ff0000	allD_yiaM	Q.not.R
nuoI	nuoH	818	#228b22	nuoI_nuoH	R.and.Q
manY	rseB	171	#ff0000	manY_rseB	Q.not.R
ompF	crr	467	#228b22	ompF_crr	R.and.Q
dnaA	mnmG	151	#ff0000	dnaA_mnmG	Q.not.R
hyi	hyfG	296	#ff0000	hyi_hyfG	Q.not.R
cysN	cysM	279	#228b22	cysN_cysM	R.and.Q
garP	yiaK	345	#ff0000	garP_yiaK	Q.not.R
idnD	gntK	228	#228b22	idnD_gntK	R.and.Q
asnC	idnD	322	#ff0000	asnC_idnD	Q.not.R
yhdX	rhaT	374	#ff0000	yhdX_rhaT	Q.not.R
